Station ID,Station,Year,Month,Day,DateTimeMax,Max,DateTimeMin,Min,Ave,Range,sda Max,sda Min,sda Ave,sda Range,sda,sdaMax>18,Date,Period,Group,Sort
P03,Pedee,2017,6,7,6/7/17 0:00,13.81,6/7/17 9:00,11.88,12.981,1.93,,,,,,,6/7/2017,,5,23
P03,Pedee,2017,6,8,6/8/17 16:00,13.377,6/8/17 8:00,12.292,12.834,1.085,,,,,,,6/8/2017,,5,23
P03,Pedee,2017,6,9,6/9/17 0:00,12.413,6/9/17 9:00,11.053,11.625,1.36,,,,,,,6/9/2017,,5,23
P03,Pedee,2017,6,10,6/10/17 18:00,12.074,6/10/17 8:00,10.443,11.174,1.631,12.653,10.975,11.785,1.678,sda,,6/10/2017,,5,23
P03,Pedee,2017,6,11,6/11/17 19:00,11.904,6/11/17 8:00,10.247,11.066,1.657,12.474,10.714,11.533,1.761,sda,,6/11/2017,,5,23
P03,Pedee,2017,6,12,6/12/17 20:00,11.929,6/12/17 8:00,10.051,11.038,1.878,12.281,10.571,11.369,1.71,sda,,6/12/2017,,5,23
P03,Pedee,2017,6,13,6/13/17 18:00,13.064,6/13/17 8:00,10.858,11.775,2.206,12.281,10.655,11.419,1.626,sda,,6/13/2017,,5,23
P03,Pedee,2017,6,14,6/14/17 19:00,12.558,6/14/17 9:00,10.051,11.216,2.507,12.632,10.812,11.659,1.82,sda,,6/14/2017,,5,23
P03,Pedee,2017,6,15,6/15/17 18:00,12.025,6/15/17 11:00,11.297,11.686,0.728,13.154,11.135,12.065,2.019,sda,,6/15/2017,,5,23
P03,Pedee,2017,6,16,6/16/17 19:00,12.413,6/16/17 8:00,11.637,11.977,0.776,13.951,11.589,12.642,2.362,sda,,6/16/2017,,5,23
P03,Pedee,2017,6,17,6/17/17 18:00,14.529,6/17/17 8:00,11.54,12.854,2.989,14.491,12.008,13.156,2.483,sda,,6/17/2017,,5,23
P03,Pedee,2017,6,18,6/18/17 18:00,15.557,6/18/17 8:00,12.509,13.908,3.048,14.998,12.441,13.637,2.556,sda,,6/18/2017,,5,23
P03,Pedee,2017,6,19,6/19/17 18:00,17.51,6/19/17 8:00,13.233,15.08,4.277,15.604,12.587,14.001,3.017,sda,,6/19/2017,,5,23
