Station_ID,Station_Name,Year,Date,Time_Max,Max_T,Time_Min,Min_T,Ave_T,Range,sda_Max,sda_Min,sda_Ave,sda_Range,sda_Max_18,Group
P09,Maxfield,2018,5/17/2018,18:00:00,13.74,8:00:00,12,12.73,1.74,,,,,0,1
P09,Maxfield,2018,5/18/2018,18:00:00,14.19,8:00:00,11.78,12.78,2.41,,,,,0,1
P09,Maxfield,2018,5/19/2018,18:00:00,13.76,8:00:00,11.93,12.72,1.83,,,,,0,1
P09,Maxfield,2018,5/20/2018,18:00:00,14.15,8:00:00,11.15,12.62,3,14.48,11.74,13.03,2.74,0,1
P09,Maxfield,2018,5/21/2018,19:00:00,14.53,8:00:00,10.93,12.78,3.6,14.63,11.85,13.17,2.77,0,1
P09,Maxfield,2018,5/22/2018,18:00:00,15.49,8:00:00,11.42,13.45,4.07,14.61,12.01,13.26,2.6,0,1
P09,Maxfield,2018,5/23/2018,17:00:00,15.49,9:00:00,12.97,14.1,2.52,14.48,11.89,13.16,2.6,0,1
P09,Maxfield,2018,5/24/2018,20:00:00,14.79,8:00:00,12.8,13.75,1.99,14.55,11.82,13.16,2.73,0,1
P09,Maxfield,2018,5/25/2018,18:00:00,14.05,9:00:00,12.87,13.39,1.18,14.64,11.98,13.27,2.66,0,1
P09,Maxfield,2018,5/26/2018,19:00:00,12.9,8:00:00,11.08,12.05,1.82,14.45,12.14,13.26,2.31,0,1
P09,Maxfield,2018,5/27/2018,19:00:00,14.63,8:00:00,10.69,12.62,3.94,14.09,11.75,12.93,2.35,0,1
P09,Maxfield,2018,5/28/2018,18:00:00,15.15,8:00:00,12.03,13.53,3.13,13.79,11.51,12.65,2.28,0,1
P09,Maxfield,2018,5/29/2018,18:00:00,14.17,9:00:00,12.56,13.39,1.61,13.7,11.04,12.39,2.66,0,1
P09,Maxfield,2018,5/30/2018,18:00:00,12.97,8:00:00,10.22,11.78,2.75,13.96,10.97,12.48,2.99,0,1
P09,Maxfield,2018,5/31/2018,18:00:00,12.65,8:00:00,11.1,11.79,1.55,13.88,11.24,12.59,2.64,0,1
P09,Maxfield,2018,6/1/2018,19:00:00,13.45,8:00:00,9.61,11.6,3.84,13.69,11.22,12.49,2.47,0,1
P09,Maxfield,2018,6/2/2018,19:00:00,14.7,7:00:00,10.61,12.68,4.08,13.69,11.01,12.4,2.68,0,1
P09,Maxfield,2018,6/3/2018,16:00:00,14.07,8:00:00,12.56,13.34,1.52,13.94,11.16,12.58,2.77,0,1
P09,Maxfield,2018,6/4/2018,19:00:00,13.79,8:00:00,11.86,12.89,1.93,14.23,11.36,12.82,2.87,0,1
P09,Maxfield,2018,6/5/2018,17:00:00,14.22,7:00:00,11.13,12.73,3.09,14.22,11.71,13,2.51,0,1
P09,Maxfield,2018,6/6/2018,17:00:00,14.67,8:00:00,11.27,13.01,3.4,13.99,11.89,12.98,2.1,0,1
P09,Maxfield,2018,6/7/2018,16:00:00,14.72,8:00:00,12.51,13.52,2.21,13.7,11.67,12.72,2.03,0,1
P09,Maxfield,2018,6/8/2018,0:00:00,13.38,7:00:00,12.03,12.82,1.35,13.73,11.59,12.66,2.14,0,1
P09,Maxfield,2018,6/9/2018,15:00:00,13.11,8:00:00,11.9,12.54,1.21,13.74,11.51,12.63,2.24,0,1
P09,Maxfield,2018,6/10/2018,0:00:00,12,7:00:00,11.01,11.55,1,13.68,11.73,12.69,1.96,0,1
P09,Maxfield,2018,6/11/2018,18:00:00,13.98,7:00:00,11.27,12.42,2.71,13.57,11.63,12.61,1.94,0,1
P09,Maxfield,2018,6/12/2018,18:00:00,14.34,8:00:00,10.57,12.55,3.77,13.66,11.63,12.63,2.03,0,1
P09,Maxfield,2018,6/13/2018,18:00:00,14.24,8:00:00,12.8,13.43,1.44,13.99,11.72,12.82,2.27,0,1
P09,Maxfield,2018,6/14/2018,19:00:00,13.93,7:00:00,11.86,12.93,2.07,14.7,11.99,13.31,2.71,0,1
P09,Maxfield,2018,6/15/2018,19:00:00,14,7:00:00,11.98,12.99,2.03,15.16,12.49,13.81,2.67,0,1
P09,Maxfield,2018,6/16/2018,18:00:00,15.41,7:00:00,12.53,13.89,2.88,15.66,13.03,14.33,2.63,0,1
P09,Maxfield,2018,6/17/2018,19:00:00,16.96,7:00:00,12.92,14.95,4.04,16.24,13.46,14.81,2.78,0,1
P09,Maxfield,2018,6/18/2018,16:00:00,17.25,8:00:00,14.77,15.94,2.48,16.7,13.97,15.28,2.72,0,1
